date,hashrate_ehs,difficulty,btc_price_usd,hashprice_usd_ph_day
2026-07-18,793.7,127170500429035,64796,55.90
2026-07-19,1036.7,127170500429035,64682,34.65
2026-07-20,1061.0,127170500429035,65213,30.71
2026-07-21,911.0,127170500429035,66516,32.92
2026-07-22,866.8,127170500429035,66087,29.04
2026-07-23,731.1,127170500429035,65051,38.80
2026-07-24,835.8,127170500429035,64083,43.47
2026-07-25,973.3,126231507121868,64296,29.83
2026-07-26,869.4,126231507121868,65341,35.02
2026-07-27,919.6,126231507121868,63694,37.85
2026-07-28,879.8,126231507121868,63847,30.25
2026-07-29,784.3,126231507121868,63896,39.37
2026-07-30,894.9,126231507121868,64722,37.38
2026-07-31,959.2,126231507121868,62826,36.27
2026-08-01,987.2,126231507121868,62764,34.52
2026-08-02,1028.9,126231507121868,63499,29.43
2026-08-03,905.5,126231507121868,63467,35.25
2026-08-04,943.1,126231507121868,64051,33.49
2026-08-05,880.1,126231507121868,64603,36.40
2026-08-06,899.2,126231507121868,64267,29.93
2026-08-07,794.2,126231507121868,64892,45.14
2026-08-08,993.3,127479855693691,64909,31.90
2026-08-09,905.1,127479855693691,64849,33.16
2026-08-10,911.0,127480000000000,64033,31.73
2026-08-11,880.9,127479855693691,63532,30.83
2026-08-12,822.8,127479855693691,63412,37.95
2026-08-13,889.6,127479855693691,63425,34.64
2026-08-14,926.9,127479855693691,62975,34.02
2026-08-15,941.7,127479855693691,63019,33.88
2026-08-16,918.4,127479855693691,62837,36.44
2026-08-17,909.0,127479855693691,63419,31.54
