date,ticker,close_usd
2026-06-15,MARA,14.64
2026-06-15,CLSK,17.14
2026-06-15,RIOT,27.38
2026-06-15,IREN,60.85
2026-06-15,BTDR,18.32
2026-06-15,CORZ,28.22
2026-06-15,HIVE,3.96
2026-06-15,WULF,28.17
2026-06-15,CIFR,26.03
2026-06-15,HUT,120.18
2026-06-15,CANG,3.10
2026-06-15,ABTC,12.81
2026-06-15,CAN,0.35
2026-06-16,MARA,14.42
2026-06-16,CLSK,17.26
2026-06-16,RIOT,27.42
2026-06-16,IREN,59.18
2026-06-16,BTDR,18.25
2026-06-16,CORZ,28.08
2026-06-16,HIVE,4.07
2026-06-16,WULF,28.01
2026-06-16,CIFR,26.21
2026-06-16,HUT,121.48
2026-06-16,CANG,3.20
2026-06-16,ABTC,12.52
2026-06-16,CAN,0.34
2026-06-17,MARA,13.92
2026-06-17,CLSK,16.78
2026-06-17,RIOT,27.43
2026-06-17,IREN,58.11
2026-06-17,BTDR,17.92
2026-06-17,CORZ,28.38
2026-06-17,HIVE,3.97
2026-06-17,WULF,27.86
2026-06-17,CIFR,26.35
2026-06-17,HUT,118.88
2026-06-17,CANG,3.20
2026-06-17,ABTC,12.65
2026-06-17,CAN,0.33
2026-06-18,MARA,14.22
2026-06-18,CLSK,17.24
2026-06-18,RIOT,28.10
2026-06-18,IREN,59.96
2026-06-18,BTDR,17.93
2026-06-18,CORZ,29.16
2026-06-18,HIVE,4.26
2026-06-18,WULF,28.98
2026-06-18,CIFR,29.18
2026-06-18,HUT,124.44
2026-06-18,CANG,1.90
2026-06-18,ABTC,12.75
2026-06-18,CAN,0.33
2026-06-22,MARA,14.85
2026-06-22,CLSK,17.45
2026-06-22,RIOT,28.63
2026-06-22,IREN,56.87
2026-06-22,BTDR,17.43
2026-06-22,CORZ,29.08
2026-06-22,HIVE,4.90
2026-06-22,WULF,28.31
2026-06-22,CIFR,28.14
2026-06-22,HUT,121.04
2026-06-22,CANG,2.30
2026-06-22,ABTC,12.18
2026-06-22,CAN,0.35
2026-06-23,MARA,14.70
2026-06-23,CLSK,17.19
2026-06-23,RIOT,28.69
2026-06-23,IREN,54.72
2026-06-23,BTDR,17.23
2026-06-23,CORZ,29.16
2026-06-23,HIVE,4.63
2026-06-23,WULF,28.78
2026-06-23,CIFR,27.64
2026-06-23,HUT,120.51
2026-06-23,CANG,2.40
2026-06-23,ABTC,11.60
2026-06-23,CAN,0.34
2026-06-24,MARA,14.00
2026-06-24,CLSK,16.23
2026-06-24,RIOT,27.42
2026-06-24,IREN,50.30
2026-06-24,BTDR,17.52
2026-06-24,CORZ,27.79
2026-06-24,HIVE,4.14
2026-06-24,WULF,26.97
2026-06-24,CIFR,26.22
2026-06-24,HUT,116.10
2026-06-24,CANG,2.30
2026-06-24,ABTC,11.11
2026-06-24,CAN,0.32
2026-06-25,MARA,13.88
2026-06-25,CLSK,15.87
2026-06-25,RIOT,27.76
2026-06-25,IREN,47.74
2026-06-25,BTDR,16.39
2026-06-25,CORZ,27.27
2026-06-25,HIVE,3.79
2026-06-25,WULF,26.06
2026-06-25,CIFR,25.68
2026-06-25,HUT,117.68
2026-06-25,CANG,2.10
2026-06-25,ABTC,10.59
2026-06-25,CAN,0.30
2026-06-26,MARA,14.54
2026-06-26,CLSK,16.33
2026-06-26,RIOT,28.57
2026-06-26,IREN,47.21
2026-06-26,BTDR,17.15
2026-06-26,CORZ,27.20
2026-06-26,HIVE,4.03
2026-06-26,WULF,25.83
2026-06-26,CIFR,25.94
2026-06-26,HUT,123.02
2026-06-26,CANG,2.00
2026-06-26,ABTC,10.77
2026-06-26,CAN,0.30
2026-06-29,MARA,14.03
2026-06-29,CLSK,15.37
2026-06-29,RIOT,27.75
2026-06-29,IREN,45.91
2026-06-29,BTDR,15.86
2026-06-29,CORZ,25.94
2026-06-29,HIVE,3.76
2026-06-29,WULF,25.58
2026-06-29,CIFR,24.83
2026-06-29,HUT,118.27
2026-06-29,CANG,2.00
2026-06-29,ABTC,10.73
2026-06-29,CAN,0.30
2026-06-30,MARA,13.89
2026-06-30,CLSK,14.55
2026-06-30,RIOT,27.38
2026-06-30,IREN,45.73
2026-06-30,BTDR,15.87
2026-06-30,CORZ,25.59
2026-06-30,HIVE,3.64
2026-06-30,WULF,24.70
2026-06-30,CIFR,24.50
2026-06-30,HUT,115.44
2026-06-30,CANG,2.00
2026-06-30,ABTC,10.22
2026-06-30,CAN,0.29
